Category ,Question number,Question,Metric,Plant,Value,Participation
Flexibility/Wellbeing,20,"20. I have the flexibility I need (when, how I work) to balance my work and personal responsibilities.",Unfavourable,3,41,129
Sustainable Engagement,0,Sustainable Engagement,Unfavourable,4,15,337
Sustainable Engagement,2,2. I believe strongly in the goals and objectives of Ball.,Unfavourable,4,9,337
Sustainable Engagement,3,3. There are no substantial obstacles at work to doing my job well.,Unfavourable,4,23,337
Sustainable Engagement,4,4. I am able to sustain the level of energy I need throughout the work day.,Unfavourable,4,15,337
Retention Driver,0,Retention Driver,Unfavourable,4,13,337
Retention Driver,5,"5. At the present time, are you seriously considering leaving Ball?",Unfavourable,4,13,337
Vision & Direction,0,Vision & Direction,Unfavourable,4,14,337
Vision & Direction,6,6. I understand how my work contributes to Ball's business objectives. *,Unfavourable,4,3,337
Vision & Direction,7,7. Senior leadership has a clear vision for the future. *,Unfavourable,4,26,337
Senior Leadership,0,Senior Leadership,Unfavourable,4,22,337
Senior Leadership,8,8. How good is senior leadership at managing change? *,Unfavourable,4,24,337
Senior Leadership,9,9. Senior leadership communicates openly and honestly to employees. *,Unfavourable,4,21,337
Manager Effectiveness,0,Manager Effectiveness,Unfavourable,4,4,337
Manager Effectiveness,10,10. My immediate supervisor/manager treats me with respect.,Unfavourable,4,3,337
Manager Effectiveness,11,11. My immediate supervisor/manager encourages new ideas and new ways of doing things.,Unfavourable,4,5,337
Inclusion,0,Inclusion,Unfavourable,4,7,337
Inclusion,12,"12. My immediate supervisor/manager's commitment to diversity and inclusion is apparent in action, not just words. *",Unfavourable,4,4,337
Inclusion,13,13. I feel a strong sense of belonging to my department/team. *,Unfavourable,4,10,337
Safety,0,Safety,Unfavourable,4,25,337
Safety,14,"14. Safety rules are carefully observed, even if it means work is slowed down. *",Unfavourable,4,9,337
Safety,15,"15. Overall, the physical working conditions are satisfactory (e.g., ventilation, temperature, space to work). *",Unfavourable,4,41,337
Training & Development,0,Training & Development,Unfavourable,4,19,337
Training & Development,16,16. There are sufficient training opportunities for me to improve my skills.,Unfavourable,4,22,337
Training & Development,17,17. I have the opportunity for personal development and growth at Ball.,Unfavourable,4,16,337
Career Advancement,0,Career Advancement,Unfavourable,4,19,337
Career Advancement,18,18. Everyone has the same opportunity to advance in this company regardless of personal identity. *,Unfavourable,4,28,337
Career Advancement,19,19. I think Ball offers long-term opportunities for me. *,Unfavourable,4,9,337
Flexibility/Wellbeing,0,Flexibility/Wellbeing,Unfavourable,4,21,337
Flexibility/Wellbeing,20,"20. I have the flexibility I need (when, how I work) to balance my work and personal responsibilities.",Unfavourable,4,21,337
Sustainable Engagement,0,Sustainable Engagement,Unfavourable,5,6,104
Sustainable Engagement,2,2. I believe strongly in the goals and objectives of Ball.,Unfavourable,5,4,104
Sustainable Engagement,3,3. There are no substantial obstacles at work to doing my job well.,Unfavourable,5,8,104
Sustainable Engagement,4,4. I am able to sustain the level of energy I need throughout the work day.,Unfavourable,5,8,104
Retention Driver,0,Retention Driver,Unfavourable,5,7,104
Retention Driver,5,"5. At the present time, are you seriously considering leaving Ball?",Unfavourable,5,7,104
Vision & Direction,0,Vision & Direction,Unfavourable,5,8,104
Vision & Direction,6,6. I understand how my work contributes to Ball's business objectives. *,Unfavourable,5,3,104
Vision & Direction,7,7. Senior leadership has a clear vision for the future. *,Unfavourable,5,13,104
Senior Leadership,0,Senior Leadership,Unfavourable,5,8,104
Senior Leadership,8,8. How good is senior leadership at managing change? *,Unfavourable,5,8,104
Senior Leadership,9,9. Senior leadership communicates openly and honestly to employees. *,Unfavourable,5,8,104
Manager Effectiveness,0,Manager Effectiveness,Unfavourable,5,6,104
Manager Effectiveness,10,10. My immediate supervisor/manager treats me with respect.,Unfavourable,5,5,104
Manager Effectiveness,11,11. My immediate supervisor/manager encourages new ideas and new ways of doing things.,Unfavourable,5,7,104
Inclusion,0,Inclusion,Unfavourable,5,5,104
Inclusion,12,"12. My immediate supervisor/manager's commitment to diversity and inclusion is apparent in action, not just words. *",Unfavourable,5,4,104
Inclusion,13,13. I feel a strong sense of belonging to my department/team. *,Unfavourable,5,7,104
Safety,0,Safety,Unfavourable,5,3,104
Safety,14,"14. Safety rules are carefully observed, even if it means work is slowed down. *",Unfavourable,5,3,104
Safety,15,"15. Overall, the physical working conditions are satisfactory (e.g., ventilation, temperature, space to work). *",Unfavourable,5,4,104
Training & Development,0,Training & Development,Unfavourable,5,7,104
Training & Development,16,16. There are sufficient training opportunities for me to improve my skills.,Unfavourable,5,7,104
Training & Development,17,17. I have the opportunity for personal development and growth at Ball.,Unfavourable,5,7,104
Career Advancement,0,Career Advancement,Unfavourable,5,7,104
Career Advancement,18,18. Everyone has the same opportunity to advance in this company regardless of personal identity. *,Unfavourable,5,9,104
Career Advancement,19,19. I think Ball offers long-term opportunities for me. *,Unfavourable,5,6,104
Flexibility/Wellbeing,0,Flexibility/Wellbeing,Unfavourable,5,18,104
Flexibility/Wellbeing,20,"20. I have the flexibility I need (when, how I work) to balance my work and personal responsibilities.",Unfavourable,5,18,104
Sustainable Engagement,0,Sustainable Engagement,Unfavourable,6,22,164
Sustainable Engagement,2,2. I believe strongly in the goals and objectives of Ball.,Unfavourable,6,6,164
Sustainable Engagement,3,3. There are no substantial obstacles at work to doing my job well.,Unfavourable,6,38,164
Sustainable Engagement,4,4. I am able to sustain the level of energy I need throughout the work day.,Unfavourable,6,23,164
Retention Driver,0,Retention Driver,Unfavourable,6,15,164
Retention Driver,5,"5. At the present time, are you seriously considering leaving Ball?",Unfavourable,6,15,164
Vision & Direction,0,Vision & Direction,Unfavourable,6,16,164
Vision & Direction,6,6. I understand how my work contributes to Ball's business objectives. *,Unfavourable,6,2,164
Vision & Direction,7,7. Senior leadership has a clear vision for the future. *,Unfavourable,6,30,164
Senior Leadership,0,Senior Leadership,Unfavourable,6,31,164
Senior Leadership,8,8. How good is senior leadership at managing change? *,Unfavourable,6,34,164
Senior Leadership,9,9. Senior leadership communicates openly and honestly to employees. *,Unfavourable,6,29,164
Manager Effectiveness,0,Manager Effectiveness,Unfavourable,6,11,164
Manager Effectiveness,10,10. My immediate supervisor/manager treats me with respect.,Unfavourable,6,7,164
Manager Effectiveness,11,11. My immediate supervisor/manager encourages new ideas and new ways of doing things.,Unfavourable,6,15,164
Inclusion,0,Inclusion,Unfavourable,6,14,164
Inclusion,12,"12. My immediate supervisor/manager's commitment to diversity and inclusion is apparent in action, not just words. *",Unfavourable,6,12,164
Inclusion,13,13. I feel a strong sense of belonging to my department/team. *,Unfavourable,6,16,164
Safety,0,Safety,Unfavourable,6,37,164
Safety,14,"14. Safety rules are carefully observed, even if it means work is slowed down. *",Unfavourable,6,12,164
Safety,15,"15. Overall, the physical working conditions are satisfactory (e.g., ventilation, temperature, space to work). *",Unfavourable,6,62,164
Training & Development,0,Training & Development,Unfavourable,6,30,164
Training & Development,16,16. There are sufficient training opportunities for me to improve my skills.,Unfavourable,6,33,164
Training & Development,17,17. I have the opportunity for personal development and growth at Ball.,Unfavourable,6,27,164
Career Advancement,0,Career Advancement,Unfavourable,6,19,164
Career Advancement,18,18. Everyone has the same opportunity to advance in this company regardless of personal identity. *,Unfavourable,6,24,164
Career Advancement,19,19. I think Ball offers long-term opportunities for me. *,Unfavourable,6,15,164
Flexibility/Wellbeing,0,Flexibility/Wellbeing,Unfavourable,6,20,164
Flexibility/Wellbeing,20,"20. I have the flexibility I need (when, how I work) to balance my work and personal responsibilities.",Unfavourable,6,20,164
Sustainable Engagement,0,Sustainable Engagement,Unfavourable,7,20,199
Sustainable Engagement,2,2. I believe strongly in the goals and objectives of Ball.,Unfavourable,7,4,199
Sustainable Engagement,3,3. There are no substantial obstacles at work to doing my job well.,Unfavourable,7,33,199
Sustainable Engagement,4,4. I am able to sustain the level of energy I need throughout the work day.,Unfavourable,7,24,199
Retention Driver,0,Retention Driver,Unfavourable,7,13,199
Retention Driver,5,"5. At the present time, are you seriously considering leaving Ball?",Unfavourable,7,13,199
Vision & Direction,0,Vision & Direction,Unfavourable,7,12,199
Vision & Direction,6,6. I understand how my work contributes to Ball's business objectives. *,Unfavourable,7,3,199
Vision & Direction,7,7. Senior leadership has a clear vision for the future. *,Unfavourable,7,21,199
Senior Leadership,0,Senior Leadership,Unfavourable,7,21,199
Senior Leadership,8,8. How good is senior leadership at managing change? *,Unfavourable,7,22,199
Senior Leadership,9,9. Senior leadership communicates openly and honestly to employees. *,Unfavourable,7,20,199
Manager Effectiveness,0,Manager Effectiveness,Unfavourable,7,11,199
Manager Effectiveness,10,10. My immediate supervisor/manager treats me with respect.,Unfavourable,7,10,199
Manager Effectiveness,11,11. My immediate supervisor/manager encourages new ideas and new ways of doing things.,Unfavourable,7,12,199
Inclusion,0,Inclusion,Unfavourable,7,11,199
Inclusion,12,"12. My immediate supervisor/manager's commitment to diversity and inclusion is apparent in action, not just words. *",Unfavourable,7,13,199
Inclusion,13,13. I feel a strong sense of belonging to my department/team. *,Unfavourable,7,9,199
Safety,0,Safety,Unfavourable,7,37,199
Safety,14,"14. Safety rules are carefully observed, even if it means work is slowed down. *",Unfavourable,7,19,199
Safety,15,"15. Overall, the physical working conditions are satisfactory (e.g., ventilation, temperature, space to work). *",Unfavourable,7,56,199
Training & Development,0,Training & Development,Unfavourable,7,21,199
Training & Development,16,16. There are sufficient training opportunities for me to improve my skills.,Unfavourable,7,27,199
Training & Development,17,17. I have the opportunity for personal development and growth at Ball.,Unfavourable,7,15,199
Career Advancement,0,Career Advancement,Unfavourable,7,18,199
Career Advancement,18,18. Everyone has the same opportunity to advance in this company regardless of personal identity. *,Unfavourable,7,26,199
Career Advancement,19,19. I think Ball offers long-term opportunities for me. *,Unfavourable,7,11,199
Flexibility/Wellbeing,0,Flexibility/Wellbeing,Unfavourable,7,25,199
Flexibility/Wellbeing,20,"20. I have the flexibility I need (when, how I work) to balance my work and personal responsibilities.",Unfavourable,7,25,199
Sustainable Engagement,0,Sustainable Engagement,Unfavourable,8,15,308
Sustainable Engagement,2,2. I believe strongly in the goals and objectives of Ball.,Unfavourable,8,5,308
Sustainable Engagement,3,3. There are no substantial obstacles at work to doing my job well.,Unfavourable,8,21,308
Sustainable Engagement,4,4. I am able to sustain the level of energy I need throughout the work day.,Unfavourable,8,18,308
Retention Driver,0,Retention Driver,Unfavourable,8,14,308
Retention Driver,5,"5. At the present time, are you seriously considering leaving Ball?",Unfavourable,8,14,308
Vision & Direction,0,Vision & Direction,Unfavourable,8,8,308
Vision & Direction,6,6. I understand how my work contributes to Ball's business objectives. *,Unfavourable,8,1,308
Vision & Direction,7,7. Senior leadership has a clear vision for the future. *,Unfavourable,8,16,308
Senior Leadership,0,Senior Leadership,Unfavourable,8,14,308
Senior Leadership,8,8. How good is senior leadership at managing change? *,Unfavourable,8,15,308
Senior Leadership,9,9. Senior leadership communicates openly and honestly to employees. *,Unfavourable,8,13,308
Manager Effectiveness,0,Manager Effectiveness,Unfavourable,8,4,308
Manager Effectiveness,10,10. My immediate supervisor/manager treats me with respect.,Unfavourable,8,3,308
Manager Effectiveness,11,11. My immediate supervisor/manager encourages new ideas and new ways of doing things.,Unfavourable,8,5,308
Inclusion,0,Inclusion,Unfavourable,8,5,308
Inclusion,12,"12. My immediate supervisor/manager's commitment to diversity and inclusion is apparent in action, not just words. *",Unfavourable,8,3,308
Inclusion,13,13. I feel a strong sense of belonging to my department/team. *,Unfavourable,8,7,308
Safety,0,Safety,Unfavourable,8,22,308
Safety,14,"14. Safety rules are carefully observed, even if it means work is slowed down. *",Unfavourable,8,6,308
Safety,15,"15. Overall, the physical working conditions are satisfactory (e.g., ventilation, temperature, space to work). *",Unfavourable,8,39,308
Training & Development,0,Training & Development,Unfavourable,8,13,308
Training & Development,16,16. There are sufficient training opportunities for me to improve my skills.,Unfavourable,8,16,308
Training & Development,17,17. I have the opportunity for personal development and growth at Ball.,Unfavourable,8,9,308
Career Advancement,0,Career Advancement,Unfavourable,8,11,308
Career Advancement,18,18. Everyone has the same opportunity to advance in this company regardless of personal identity. *,Unfavourable,8,18,308
Career Advancement,19,19. I think Ball offers long-term opportunities for me. *,Unfavourable,8,5,308
Flexibility/Wellbeing,0,Flexibility/Wellbeing,Unfavourable,8,28,308
Flexibility/Wellbeing,20,"20. I have the flexibility I need (when, how I work) to balance my work and personal responsibilities.",Unfavourable,8,28,308
Sustainable Engagement,0,Sustainable Engagement,Unfavourable,9,11,200
Sustainable Engagement,2,2. I believe strongly in the goals and objectives of Ball.,Unfavourable,9,2,200
Sustainable Engagement,3,3. There are no substantial obstacles at work to doing my job well.,Unfavourable,9,20,200
Sustainable Engagement,4,4. I am able to sustain the level of energy I need throughout the work day.,Unfavourable,9,11,200
Retention Driver,0,Retention Driver,Unfavourable,9,8,200
Retention Driver,5,"5. At the present time, are you seriously considering leaving Ball?",Unfavourable,9,8,200
Vision & Direction,0,Vision & Direction,Unfavourable,9,7,200
Vision & Direction,6,6. I understand how my work contributes to Ball's business objectives. *,Unfavourable,9,2,200
Vision & Direction,7,7. Senior leadership has a clear vision for the future. *,Unfavourable,9,12,200
Senior Leadership,0,Senior Leadership,Unfavourable,9,15,200
Senior Leadership,8,8. How good is senior leadership at managing change? *,Unfavourable,9,15,200
Senior Leadership,9,9. Senior leadership communicates openly and honestly to employees. *,Unfavourable,9,16,200
Manager Effectiveness,0,Manager Effectiveness,Unfavourable,9,4,200
Manager Effectiveness,10,10. My immediate supervisor/manager treats me with respect.,Unfavourable,9,4,200
Manager Effectiveness,11,11. My immediate supervisor/manager encourages new ideas and new ways of doing things.,Unfavourable,9,5,200
Inclusion,0,Inclusion,Unfavourable,9,5,200
Inclusion,12,"12. My immediate supervisor/manager's commitment to diversity and inclusion is apparent in action, not just words. *",Unfavourable,9,4,200
Inclusion,13,13. I feel a strong sense of belonging to my department/team. *,Unfavourable,9,7,200
Safety,0,Safety,Unfavourable,9,16,200
Safety,14,"14. Safety rules are carefully observed, even if it means work is slowed down. *",Unfavourable,9,11,200
Safety,15,"15. Overall, the physical working conditions are satisfactory (e.g., ventilation, temperature, space to work). *",Unfavourable,9,22,200
Training & Development,0,Training & Development,Unfavourable,9,18,200
Training & Development,16,16. There are sufficient training opportunities for me to improve my skills.,Unfavourable,9,25,200
Training & Development,17,17. I have the opportunity for personal development and growth at Ball.,Unfavourable,9,12,200
Career Advancement,0,Career Advancement,Unfavourable,9,11,200
Career Advancement,18,18. Everyone has the same opportunity to advance in this company regardless of personal identity. *,Unfavourable,9,16,200
Career Advancement,19,19. I think Ball offers long-term opportunities for me. *,Unfavourable,9,6,200
Flexibility/Wellbeing,0,Flexibility/Wellbeing,Unfavourable,9,15,200
Flexibility/Wellbeing,20,"20. I have the flexibility I need (when, how I work) to balance my work and personal responsibilities.",Unfavourable,9,15,200
Sustainable Engagement,0,Sustainable Engagement,Unfavourable,10,16,163
Sustainable Engagement,2,2. I believe strongly in the goals and objectives of Ball.,Unfavourable,10,6,163
Sustainable Engagement,3,3. There are no substantial obstacles at work to doing my job well.,Unfavourable,10,24,163
Sustainable Engagement,4,4. I am able to sustain the level of energy I need throughout the work day.,Unfavourable,10,19,163
Retention Driver,0,Retention Driver,Unfavourable,10,18,163
Retention Driver,5,"5. At the present time, are you seriously considering leaving Ball?",Unfavourable,10,18,163
Vision & Direction,0,Vision & Direction,Unfavourable,10,9,163
Vision & Direction,6,6. I understand how my work contributes to Ball's business objectives. *,Unfavourable,10,1,163
Vision & Direction,7,7. Senior leadership has a clear vision for the future. *,Unfavourable,10,17,163
Senior Leadership,0,Senior Leadership,Unfavourable,10,21,163
Senior Leadership,8,8. How good is senior leadership at managing change? *,Unfavourable,10,17,163
Senior Leadership,9,9. Senior leadership communicates openly and honestly to employees. *,Unfavourable,10,25,163
Manager Effectiveness,0,Manager Effectiveness,Unfavourable,10,8,163
Manager Effectiveness,10,10. My immediate supervisor/manager treats me with respect.,Unfavourable,10,6,163
Manager Effectiveness,11,11. My immediate supervisor/manager encourages new ideas and new ways of doing things.,Unfavourable,10,10,163
Inclusion,0,Inclusion,Unfavourable,10,9,163
Inclusion,12,"12. My immediate supervisor/manager's commitment to diversity and inclusion is apparent in action, not just words. *",Unfavourable,10,8,163
Inclusion,13,13. I feel a strong sense of belonging to my department/team. *,Unfavourable,10,10,163
Safety,0,Safety,Unfavourable,10,33,163
Safety,14,"14. Safety rules are carefully observed, even if it means work is slowed down. *",Unfavourable,10,14,163
Safety,15,"15. Overall, the physical working conditions are satisfactory (e.g., ventilation, temperature, space to work). *",Unfavourable,10,52,163
Training & Development,0,Training & Development,Unfavourable,10,26,163
Training & Development,16,16. There are sufficient training opportunities for me to improve my skills.,Unfavourable,10,28,163
Training & Development,17,17. I have the opportunity for personal development and growth at Ball.,Unfavourable,10,25,163
Career Advancement,0,Career Advancement,Unfavourable,10,22,163
Career Advancement,18,18. Everyone has the same opportunity to advance in this company regardless of personal identity. *,Unfavourable,10,34,163
Career Advancement,19,19. I think Ball offers long-term opportunities for me. *,Unfavourable,10,11,163
Flexibility/Wellbeing,0,Flexibility/Wellbeing,Unfavourable,10,35,163
Flexibility/Wellbeing,20,"20. I have the flexibility I need (when, how I work) to balance my work and personal responsibilities.",Unfavourable,10,35,163
Sustainable Engagement,0,Sustainable Engagement,Unfavourable,11,13,220
Sustainable Engagement,2,2. I believe strongly in the goals and objectives of Ball.,Unfavourable,11,2,220
Sustainable Engagement,3,3. There are no substantial obstacles at work to doing my job well.,Unfavourable,11,26,220
Sustainable Engagement,4,4. I am able to sustain the level of energy I need throughout the work day.,Unfavourable,11,10,220
Retention Driver,0,Retention Driver,Unfavourable,11,7,220
Retention Driver,5,"5. At the present time, are you seriously considering leaving Ball?",Unfavourable,11,7,220
Vision & Direction,0,Vision & Direction,Unfavourable,11,8,220
Vision & Direction,6,6. I understand how my work contributes to Ball's business objectives. *,Unfavourable,11,2,220
Vision & Direction,7,7. Senior leadership has a clear vision for the future. *,Unfavourable,11,14,220
